Question	Answer	Difficulty
射命丸文在报刊上的竞争对手的出版物是什么？	《花果子念报》	Hard
东方儚月抄中，帕秋莉负责建造什么？	火箭	Hard
藤原妹红所厌恶的药物具有什么样的功能？	永生	Hard
迷途之家的管理者在什么情况下会脱离式神状态？	碰到水	Hard
根据东方求闻史纪的记录，蕾米莉亚可能改变了谁的命运？	咲夜	Hard
被称为西行妖的樱树是怎么变成妖怪樱的？	不断吸血	Hard
建立幻想乡的诸位贤者中第一位登场的能力是什么？	操纵境界程度的能力	Hard
东风谷早苗的登场作和古明地觉登场作之间的东方小数点作中新登场的角色是谁？	比那名居天子	Hard
魂魄妖梦在哪两个方面都是半吊子功夫？	妖术和体术	Hard
在萃梦想中，伊吹萃香操纵较为抽象的事物的密度的能力的具体体现是什么？	萃集人心	Hard
魔理沙最常使用的武器是由谁提供的？	香霖堂	Hard
花映塚中新登场的两位角色中哪一位是另一位的上级？	四季映姬	Hard
伪月异变是为了提防哪方势力而发生的？	月都	Hard
红美铃负责管理红魔馆的那两个部分？	大门和花坛	Hard
河城荷取住在哪里？	玄武涧	Hard
操纵花程度的能力是风见幽香最主要的能力么？	不是	Hard
琪露诺在哪个作品中感到了能力的提升？	东方天空璋	Hard
非想天则中，红美铃在梦中认为自己在和谁的分身战斗？	太岁星君	Luantic
永夜抄新登场的角色中，哪两位对人类的友好度最高？	上白泽慧音和藤原妹红	Luantic
在妖妖梦中，爱丽丝对哪位自机的表现最为亲密？	博丽灵梦	Lunatic
地灵殿中魔理沙的哪位支援人物认识古明地恋？	伊吹萃香	Lunatic
射命丸文的初登场是在哪个作品中？	东方文花帖（书籍）	Lunatic
阿燐成为古明地觉的宠物和古明地觉建造地灵殿两个事件哪个在前？	古明地觉建造地灵殿	Lunatic
关于咲夜身世的各种假说，哪一种被认为最有可能？	吸血鬼猎人说	Lunatic
地灵殿中，哪一位新登场的角色与自机相遇时不在其居住地？	古明地恋	Lunatic
地灵殿中新登场的角色的共性是什么？	被厌恶者	Lunatic
小野塚小町收取的摆渡钱实际上指的是什么？	死者生前身边亲近的人为死者花费的钱财的总和	Lunatic
四季映姬肩膀左侧和右侧的金属片上写着的字分别是什么？	“是”与“非”	Lunatic
关于灵梦的金钱观，一次设定和二次设定主要的相同点和不同点分别是什么？	贪财和贫穷	Lunatic
东方绯想天中，谁被命令去想办法让博丽灵梦去云层上一探究竟？	十六夜咲夜	Lunatic
为什么萃香的喝酒时候放出的豪言依然会让周围的人害怕？	鬼族从来不说谎	Lunatic
在东方地灵殿中出现次数最多的BOSS在哪几处登场了？	四、五、六面道中boss和五面boss。	Lunatic
灵乌路空的三足的名字分别叫什么？	「分解之足」、「融合之足」、「第三足」	Lunatic
铃仙和因幡帝在种族上有什么区别？	铃仙是月兔而因幡帝是妖怪兔	Lunatic
八意永琳在哪次和蓬莱山辉夜的相遇后决定与她一同隐居起来？	作为月之使者接刑满释放的辉夜时	Lunatic
关于咲夜的魔术，幻想揭示板和东方求闻史纪的记载有何种矛盾？	幻想揭示板认为咲夜的魔术的魔术只是使用了时间停止的能力，而东方求闻史纪不这样认为	Lunatic
对应“老鼠”魔理沙，帕秋莉称哪些角色为“猫”？	红美铃和十六夜咲夜	Lunatic
绯想天中，比那名居天子在被博丽灵梦打败后，天子叫来什么人来重建博丽神社？	天女	Lunatic
妖妖梦中，八云蓝为什么选择和自机交战？	橙被自机欺负	Lunatic
哪三位天狗出现在了遮脸天狗座谈会中？ 射命丸文，姬海棠果，犬走椛	Lunatic
风神录中，大天狗如何评价射命丸文和自机作战时采取的策略？	夸赞	Lunatic
第一个被“梅莉小姐的电话”吓到的角色是谁？	宇佐见堇子	Lunatic
虹龙洞后，河城荷取和谁展开了商战？	山城高岭	Extra
东方鬼形兽的故事主要发生在何处？	畜生界	Extra
芙兰朵露在红魔乡后又在哪一作作为自机登场？	东方刚欲异闻	Extra
东方绀珠传中，八意永琳给了铃仙什么？	绀珠之药	Extra
东方鬼形兽中的黑幕是谁？	吉吊八千慧	Extra
东方虹龙洞的六面BOSS是“虹”、“龙”还是“洞”的化身？	虹	Extra
东方兽王园的体验版在哪一年的例大祭上发布？	2023年	Extra
作为6面BOSS时，摩多罗的四张终符分别代表什么？	春夏秋冬	Extra
东方凭依华中，雾雨魔理沙和谁组队？	古明地恋	Extra
可能是常世神的角色在东方的哪一部作品中初次登场？	东方天空璋	Extra
哪一位红魔馆的角色出现在虹龙洞咲夜线的对话中？	帕秋莉	Extra
弹幕天邪鬼中，鬼人正邪得到的第一个道具是什么？	闪避布	Extra
哪位角色在东方正作中担任同一作品的6面和EX面BOSS？	摩多罗	Extra
东方三月精V中新登场的妖精是谁？	克劳恩皮丝	Extra
东方心绮楼中新登场的角色寻找的面具是由谁制作的？	丰聪耳神子	Extra
东方虹龙洞中，自机第一次进入虹龙洞是在几面？	4面	Extra
弹幕狂们的黑市中的可用自机有几个？	1个	Extra
哪一部东方正作的EX面BOSS是一位付丧神？	东方辉针城	Extra
东方旧作中，哪一位角色擅长操作战车？	里香	Extra
东方怪绮谈中的哪位自机没有在东方新作中登场？	魅魔	Extra
东方系列的第一部弹幕射击游戏是什么？	东方封魔录	Extra
东方旧作的最后一位BOSS在东方新作的哪一部初登场？	东方妖妖梦	Extra
ZUN曾经在哪所大学就读？	东京电机大学	Extra
ZUN曾在哪家游戏公司供职？	TAITO	Extra
ZUN因为喜欢哪种饮品著称？	啤酒	Extra
